time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
31.13,2.186344103,152814.955732,604074.212477,299.601807983,299.915558373,0.829215022685
32.13,2.231851226,152824.0591928,603884.6109738001,299.713387272,300.031036127,0.865858842887
33.14,2.278917951,152833.36976010003,603688.3115921001,299.829057324,300.149277176,0.906089289191
34.15,2.325242186,152842.8950126,603486.9949056,299.948260565,300.269895133,0.949246586137
35.16,2.37109454,152852.7422828,603280.2690438001,300.071536599,300.393466185,0.995051069384
36.17,2.416126904,152862.8077132,603067.9066192,300.199410208,300.52021675,1.04324625294
37.18,2.463017709,152873.24745979998,602849.1440198,300.332414836,300.651172517,1.09360461675
38.19,2.510229733,152884.0622858,602623.3425758,300.471081446,300.786783093,1.1459174256
39.2,2.557692707,152895.2682207,602389.8723977,300.61593806,300.927431235,1.19999668195
40.21,2.606783701,152906.90759920003,602148.0038362001,300.767512246,301.073687937,1.25567242495
41.22,2.655031596,152919.0045937,601897.0378847001,300.926332737,301.226106482,1.31279108254
42.23,2.700819539,152931.6576192,601636.1182892,301.092930078,301.385337241,1.37121423146
43.24,2.750642544,152944.8072864,601364.6184214001,301.267838292,301.551756212,1.43081497257
44.25,2.798728918,152958.63783609998,601081.4822181,301.451604243,301.72635829,1.49148224956
45.26,2.844721282,152973.1445624,600786.0020294,301.644781462,301.909021913,1.55311446439
46.27,2.894077367,152988.3376486,600477.5891036,301.84789548,302.100548085,1.61561780481
47.28,2.943452642,153004.25329150003,600155.4525675001,302.061496177,302.30154734,1.67890874439
48.29,2.992654777,153020.90160649997,599818.8509535,302.286134418,302.512353567,1.74291102744
49.3,3.044875061,153038.4163382,599466.9284262001,302.522363298,302.733911737,1.80755721374
50.31,3.104381717,153056.82495530002,599098.9767693001,302.770738597,302.966442471,1.87269088614
51.32,3.157068681,153076.0753037,598714.4546207001,303.031479111,303.210585176,1.93682301375
52.33,3.207612524,153096.2348854,598313.0582904,303.304250032,303.466207784,1.99958640799
53.34,3.26002142,153117.2550012,597894.9343322,303.588680022,303.733170795,2.06112817046
54.35,3.309565364,153139.114551,597460.4802849999,303.88441171,304.01122479,2.12158205845
55.36,3.373509751,153161.89876320004,597009.8741392,304.191122476,304.300048591,2.18107083979
56.37,3.435231465,153185.49560869997,596543.7819057,304.50849549,304.599813916,2.23970195538
57.38,3.48526861,153209.8058262,596062.8287822,304.836242654,304.909678949,2.29757248666
58.39,3.542717355,153235.0169909,595567.1948609,305.174109601,305.230021416,2.35477414555
59.4,3.59627171,153260.9823847,595057.7170937,305.521857573,305.559874334,2.41138659837
60.41,3.653647865,153287.7846148,594534.9017757999,305.879246125,305.899932505,2.46746955517
61.42,3.71443987,153315.3739239,593999.1209899,306.246115564,306.249587067,2.5229561863
62.43,3.769437566,153343.7358474,593450.9260664,306.622307581,306.608738027,2.57785981491
63.44,3.82765132,153372.8753982,592890.7924471999,307.007682007,306.977262033,2.6322202949
64.44,3.879374494,153402.47742150002,592324.9257675,307.398152054,307.351252565,2.68554214762
65.44,3.935495839,153432.84379999997,591748.2672969999,307.797370931,307.734159469,2.73839821756
66.44,3.996558396,153463.9602448,591161.2593688001,308.205220941,308.125931717,2.7908168119
67.44,4.071601392,153495.9068095,590564.1560015001,308.621598213,308.526670547,2.84282450299
68.44,4.134360908,153528.5375332,589957.6544162,309.046401804,308.935685519,2.89444333463
