Time,sources.ramp.height,sources.ramp.duration,sources.ramp.y,sources.ramp.offset,sources.ramp.startTime,sources.sine.amplitude,sources.sine.f,sources.sine.phase,sources.sine.y,sources.sine.offset,sources.sine.startTime,sources.freq_output,sources.ramp_output,sources.sine1.amplitude,sources.sine1.f,sources.sine1.phase,sources.sine1.y,sources.sine1.offset,sources.sine1.startTime,sources.ramp1.height,sources.ramp1.duration,sources.ramp1.y,sources.ramp1.offset,sources.ramp1.startTime,sources.multiSum.significantDigits,sources.multiSum.u[1],sources.multiSum.u[2],sources.multiSum.y,sources.multiSum.k[1],sources.multiSum.k[2],sources.ramp_freq_output,sources.f,LET1.output_1,LET1.input_1,LET1.fixedDelay.u,LET1.fixedDelay.y,LET1.fixedDelay.delayTime,LET1.delayTime,C1.output_1,C1.input_1,C1.fixedDelay.u,C1.fixedDelay.y,C1.fixedDelay.delayTime,C1.delayTime,LET2.output_1,LET2.input_1,LET2.fixedDelay.u,LET2.fixedDelay.y,LET2.fixedDelay.delayTime,LET2.delayTime,C2.output_1,C2.input_1,C2.fixedDelay.u,C2.fixedDelay.y,C2.fixedDelay.delayTime,C2.delayTime,LET3.output_1,LET3.input_1,LET3.fixedDelay.u,LET3.fixedDelay.y,LET3.fixedDelay.delayTime,LET3.delayTime,C3.output_1,C3.input_1,C3.fixedDelay.u,C3.fixedDelay.y,C3.fixedDelay.delayTime,C3.delayTime,LET4.output_1,LET4.input_1,LET4.fixedDelay.u,LET4.fixedDelay.y,LET4.fixedDelay.delayTime,LET4.delayTime,C4.output_1,C4.input_1,C4.fixedDelay.u,C4.fixedDelay.y,C4.fixedDelay.delayTime,C4.delayTime,LET5.output_1,LET5.input_1,LET5.fixedDelay.u,LET5.fixedDelay.y,LET5.fixedDelay.delayTime,LET5.delayTime
0.01,5,5,1,1,1,1,10,0,0.58778524,0,0,0.58778524,1,1,1,0,0.06279052,0,0,5,5,1,1,1,3,0.06279052,1,1.0627905,1,1,1.0627905,10,0.42577928,0.58778524,0.58778524,0.42577928,0.003,0.003,0.36812454,0.42577928,0.42577928,0.36812454,0.001,0.001,0.24868989,0.36812454,0.36812454,0.24868989,0.002,0.002,0.18738131,0.24868989,0.24868989,0.18738131,0.001,0.001,0,0.18738131,0.18738131,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.011,5,5,1,1,1,1,10,0,0.637424,0,0,0.637424,1,1,1,0,0.06906003,0,0,5,5,1,1,1,3,0.06906003,1,1.06906,1,1,1.06906,10,0.48175368,0.637424,0.637424,0.48175368,0.003,0.003,0.42577928,0.48175368,0.48175368,0.42577928,0.001,0.001,0.309017,0.42577928,0.42577928,0.309017,0.002,0.002,0.24868989,0.309017,0.309017,0.24868989,0.001,0.001,0,0.24868989,0.24868989,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.012,5,5,1,1,1,1,10,0,0.6845471,0,0,0.6845471,1,1,1,0,0.07532681,0,0,5,5,1,1,1,3,0.07532681,1,1.0753268,1,1,1.0753268,10,0.5358268,0.6845471,0.6845471,0.5358268,0.003,0.003,0.48175368,0.5358268,0.5358268,0.48175368,0.001,0.001,0.36812454,0.48175368,0.48175368,0.36812454,0.002,0.002,0.309017,0.36812454,0.36812454,0.309017,0.001,0.001,0,0.309017,0.309017,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.013,5,5,1,1,1,1,10,0,0.7289686,0,0,0.7289686,1,1,1,0,0.081590615,0,0,5,5,1,1,1,3,0.081590615,1,1.0815907,1,1,1.0815907,10,0.58778524,0.7289686,0.7289686,0.58778524,0.003,0.003,0.5358268,0.58778524,0.58778524,0.5358268,0.001,0.001,0.42577928,0.5358268,0.5358268,0.42577928,0.002,0.002,0.36812454,0.42577928,0.42577928,0.36812454,0.001,0.001,0.06279052,0.36812454,0.36812454,0.06279052,0.005,0.005,0,0.06279052,0.06279052,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.014,5,5,1,1,1,1,10,0,0.77051324,0,0,0.77051324,1,1,1,0,0.0878512,0,0,5,5,1,1,1,3,0.0878512,1,1.0878512,1,1,1.0878512,10,0.637424,0.77051324,0.77051324,0.637424,0.003,0.003,0.58778524,0.637424,0.637424,0.58778524,0.001,0.001,0.48175368,0.58778524,0.58778524,0.48175368,0.002,0.002,0.42577928,0.48175368,0.48175368,0.42577928,0.001,0.001,0.12533323,0.42577928,0.42577928,0.12533323,0.005,0.005,0,0.12533323,0.12533323,0,0.002,0.002,0,0,0,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.015,5,5,1,1,1,1,10,0,0.809017,0,0,0.809017,1,1,1,0,0.09410831,0,0,5,5,1,1,1,3,0.09410831,1,1.0941083,1,1,1.0941083,10,0.6845471,0.809017,0.809017,0.6845471,0.003,0.003,0.637424,0.6845471,0.6845471,0.637424,0.001,0.001,0.5358268,0.637424,0.637424,0.5358268,0.002,0.002,0.48175368,0.5358268,0.5358268,0.48175368,0.001,0.001,0.18738131,0.48175368,0.48175368,0.18738131,0.005,0.005,0.06279052,0.18738131,0.18738131,0.06279052,0.002,0.002,0,0.06279052,0.06279052,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.016,5,5,1,1,1,1,10,0,0.8443279,0,0,0.8443279,1,1,1,0,0.10036171,0,0,5,5,1,1,1,3,0.10036171,1,1.1003617,1,1,1.1003617,10,0.7289686,0.8443279,0.8443279,0.7289686,0.003,0.003,0.6845471,0.7289686,0.7289686,0.6845471,0.001,0.001,0.58778524,0.6845471,0.6845471,0.58778524,0.002,0.002,0.5358268,0.58778524,0.58778524,0.5358268,0.001,0.001,0.24868989,0.5358268,0.5358268,0.24868989,0.005,0.005,0.12533323,0.24868989,0.24868989,0.12533323,0.002,0.002,0,0.12533323,0.12533323,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.017,5,5,1,1,1,1,10,0,0.87630665,0,0,0.87630665,1,1,1,0,0.106611155,0,0,5,5,1,1,1,3,0.106611155,1,1.1066111,1,1,1.1066111,10,0.77051324,0.87630665,0.87630665,0.77051324,0.003,0.003,0.7289686,0.77051324,0.77051324,0.7289686,0.001,0.001,0.637424,0.7289686,0.7289686,0.637424,0.002,0.002,0.58778524,0.637424,0.637424,0.58778524,0.001,0.001,0.309017,0.58778524,0.58778524,0.309017,0.005,0.005,0.18738131,0.309017,0.309017,0.18738131,0.002,0.002,0,0.18738131,0.18738131,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.018,5,5,1,1,1,1,10,0,0.90482706,0,0,0.90482706,1,1,1,0,0.11285639,0,0,5,5,1,1,1,3,0.11285639,1,1.1128564,1,1,1.1128564,10,0.809017,0.90482706,0.90482706,0.809017,0.003,0.003,0.77051324,0.809017,0.809017,0.77051324,0.001,0.001,0.6845471,0.77051324,0.77051324,0.6845471,0.002,0.002,0.637424,0.6845471,0.6845471,0.637424,0.001,0.001,0.36812454,0.637424,0.637424,0.36812454,0.005,0.005,0.24868989,0.36812454,0.36812454,0.24868989,0.002,0.002,0,0.24868989,0.24868989,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
0.019,5,5,1,1,1,1,10,0,0.9297765,0,0,0.9297765,1,1,1,0,0.11909716,0,0,5,5,1,1,1,3,0.11909716,1,1.1190971,1,1,1.1190971,10,0.8443279,0.9297765,0.9297765,0.8443279,0.003,0.003,0.809017,0.8443279,0.8443279,0.809017,0.001,0.001,0.7289686,0.809017,0.809017,0.7289686,0.002,0.002,0.6845471,0.7289686,0.7289686,0.6845471,0.001,0.001,0.42577928,0.6845471,0.6845471,0.42577928,0.005,0.005,0.309017,0.42577928,0.42577928,0.309017,0.002,0.002,0,0.309017,0.309017,0,0.005,0.005,0,0,0,0,0.002,0.002,0,0,0,0,0.007,0.007
